peak_date,trough_date,recovery_date,peak_price,trough_price,recovery_price,drawdown_pct,duration_to_trough,duration_to_recovery,recovery_from_trough,recovered,label,category,severity,decline_speed_annual,recovery_speed_annual,pain_index
1997-10-07,1997-10-27,1997-12-05,983.1199951,876.9899902,983.789978,-10.795223922711978,20,59,39,True,1997亚洲金融危机,技术性回调,轻度回调 (10-15%),197.01283658949362,101.032223892048,2.1590447845423957
1998-07-17,1998-08-31,1998-11-23,1186.75,957.2800293,1188.209961,-19.33599921634716,45,129,84,True,1998俄罗斯危机/LTCM,技术性回调,中度回调 (15-20%),156.8364380881492,84.01952040436564,8.701199647356223
1999-07-16,1999-10-15,1999-11-16,1418.780029,1247.410034,1420.069946,-12.078686723606257,91,123,32,True,1999年技术性回调,技术性回调,轻度回调 (10-15%),48.44747971556356,137.77252044113388,10.991604918481693
2000-03-24,2002-10-09,2007-05-30,1527.459961,776.7600098,1530.22998,-49.14694789829584,929,2623,1694,True,2000-02互联网泡沫破裂,熊市,股灾 (40%+),19.30961892667167,10.589513567224312,456.57514597516837
2007-10-09,2009-03-09,2013-03-28,1565.150024,676.5300293,1569.189941,-56.77538773113804,517,1997,1480,True,2007-09全球金融危机,股灾,股灾 (40%+),40.08320410418837,14.002038190449584,293.5287545699837
2015-05-21,2016-02-11,2016-07-11,2130.820068,1829.079956,2137.159912,-14.160750432729637,266,417,151,True,2015-16全球恐慌,技术性回调,轻度回调 (10-15%),19.43110491709142,34.22962852944581,37.667596151060835
2018-01-26,2018-02-08,2018-08-24,2872.870117,2581.0,2874.689941,-10.159530543092767,13,210,197,True,2018.02波动率冲击,闪崩,轻度回调 (10-15%),285.24835755606614,18.82349567628863,1.3207389706020598
2018-09-20,2018-12-24,2019-04-23,2930.75,2351.100098,2933.679932,-19.778210423952917,95,215,120,True,2018.Q4加息恐慌,技术性回调,中度回调 (15-20%),75.98996636571384,60.158723372856784,18.78929990275527
2020-02-19,2020-03-23,2020-08-18,3386.149902,2237.399902,3389.780029,-33.92496000609721,33,181,148,True,2020 COVID-19,股灾,熊市 (30-40%),375.23061824925696,83.66628650152352,11.19523680201208
2022-01-03,2022-10-12,2024-01-19,4796.560059,3577.030029,4839.810059,-25.42509663173594,282,746,464,True,2022加息熊市,熊市,重度回调 (20-30%),32.90836975384262,20.000345410740554,71.69877250149536
2025-02-19,2025-04-08,2025-06-27,6144.149902,4982.77002,6173.069824,-18.902206172117577,48,128,80,True,2025年回调,技术性回调,中度回调 (15-20%),143.73552610047741,86.24131566028645,9.073058962616438
